,리뷰
0,"한국에서 이용하다가 해외 거주자라 다시 돌아왔는데요. 폰번호 해지되서 이용이 안됐어요. 문의 넣어도 한국폰번호 없으면 이용이 안된다고 딱 짤라 말씀하시길래, 일부러 한국 유심카드 사서 미국으로 우편 받았습니다. 근데 본인인증 문자로 받아서 진행하려는데 본인인증 전화도 해야되네요? 왜 이렇게까지 하는거죠? 해외에 살면 한국 유심칩 있어도 국제전화 수신이 안되거든요. 문자로 인증하면 됐지 진짜 이거때문에 약정걸어서 유심까지 샀는데 짜증나서 미치겠습니다."
1,언제부턴가 앱을 열때 지문인식창이 두번 겹쳐나오는데 이럴땐 지문인식이 되지 않을때가 있습니다. 이 문제가 발생하면 일단 안드로이드의 뒤로가기 버튼을 눌러서 앱을 닫고 다시 열면 정상적으로 지문인식창도 한번만 나오고 인식도 앱 메인화면도 정상적으로 나옵니다.
2,잘사용하는 어플입니다. 그러나 주식 확인하다 갑자기 트래픽 몰리면 느려지고 멈추고 튕기는 현상 있습니다. 어플 재시작 하면 다시되나 그 시간동안은 대응하지 못하는 문제가 있어요. 또한 차트를 빠르게 확인 할 때 일 분 시간 선택바가 없어지는 증상으로 재시작 해야합니다. 조속히 버그 수정바랍니다.
3,토스로 할수 있는 점 1. 14세 이하도 토스로 인터넷쇼핑 할수 있어요! 2. 카드로 만들어서 쓸수 있습니다~ 3. 다른사람에게 송금할수 있어요! 장점은 여기까지 이구요 저금통 기능과 딴 기능 많은데 소개 생략하구 토스 만보기를 쓰고 싶은데 이 기기에서는 사용할수 없더고 뜨네요 ㅠㅠ 왜 이렇게 뜨는지 이유가 궁금해요..!
4,저같은 학생도 사용할 수 있어서 잘 사용하고 있는데 토스머니 내역 상세내역 편집하려고 눌렀는데 불가능하더라고요.. 잘 되다가 최근 결제한 두 개만 눌리지가 않아요 저만 이러는건지ㅠㅜ 오류라면 고쳐주셨으면 좋겠어요 그거 빼면 온라인으로 송금도 하고 잘 쓰고 있습니다!
5,토스 이자도 많이 주고 모으기 통장 있어서 너무 편리합니다 몇 가지 가능하면 좋을 것 같은 기능들이 있습니다 1. 모으기 통장 순서 변경 2. 모으기 통장 간의 다이렉트 이체 혹시 개선될 수 있다면 더 편히 사용할 수 있을것 같아요 :) 잘 사용하고 있습니다 감사합니다
6,미션이 없어진 곳은 삭제를 제때에 삭제를 해주셔야 하지 않나요? 그리고 미션이 많이 삭제가 되서 솤직히 토스를 계속 해야하나 고민되네요 다른 앱들도 많이 나오고 미션을 할수 있는곳은 줄어드는데 없어진곳이 여전히 있다고 표시되어 있고 어떻게 된건지 제대로 하고앱을 운영 하시는건지 의문이 듭니다
7,토스가 출시됐던 시기부터 진짜 초기부터 사용하여 거의 3년째 사용하고 있는 유저입니다. 한달 10번 무료송금일때도 주변에 너무 간편하고 좋다며 많이 홍보하고 다녔고 그 결과 제 주변 사람들도 대부분이 토스를 사용합니다. 너무 좋은데 한가지 부탁드리고싶은 게 있다면 휴대폰 기종이 만보기 기능이 호환이 안 되는 기기라 하여도 하루에 5곳을 찍어 100원을 벌 수 있었으면 좋겠습니다. 실로 식물원이벤트 친구초대메시지를 통해 가능했는데 이번 업데이트 이후에 다시 사용이 불가능해졌습니다. 사용할 수 있는 방법이 없을까요??
8,"토스 만보기의 가까운 주변 포인트 지점이 점점 없어지네요. - 주변에 편의점, 커피점, 공원도 많은데 점점 근처 만보기 포인트 획득 지점이 줄어들고, 이제는 가장 가까운 곳이 2~3킬로는 기본으로 걸어가야 되네요. 버그인가요?"
9,만보기 기능도 넘 좋고 포인트 적립의 기회도 다양해서 넘 좋네요~~^^ 앱 버퍼링도 없고 사용하기 참 편해요~~ 특히 초기 화면 잔액표시가 안나타나니 더 안전하고 좋네요~
10,토스 사용한 지 몇 년이 되어가는지 모르겠어요. 그만큼 다른 앱보다 편하고 눈에 잘 들어와요! 다른 투자앱들은 주식창이 괜히 어려워 보이고 불편했어요. 그런데 토스는 주린이에게도 친절한 설명과 깔끔한 ui로 진입장벽을 낮춰준 기분! 요즘 조금 생겼으면 하는 기능이 있는데요. 관심 주식을 설정하면 해외랑 국내가 섞여서 원하는 기업 차트를 보려면 꽤 스크롤을 많이 내려야해서 불편해요. 관심 종목에서 해외/국내 왔다갔다하는 버튼이 하나 생겼으면 좋겠어요.
11,"처음에는 학생들 밥값 계산하는 정도 앱으로 시작해서 이렇게까지 발전한걸 보면 확실히 혁신적임. 새로운 기능들도 필요하다 싶은 것들로 추려져 있고, UI디자인이나 접근성도 은행 앱들에 비해 너무 깔끔함. 이거 하나로 다 할 수 있다는 게 가장 큰 장점일 듯"
12,"1년 넘게 애용하고 포인트 혜택도 많이 보고 편의하게 되어 있어 타사에서 갈아타고 아예 정착 중인듯?합니다. 내 보험 알아보기 들어가보니, 자세한것까진 바라진않지만, 제보험에 보험자이름도 다르게 올라가있네요.. 신용카드 업데이트 늦는것은 그러려니 하고 고정결제일만 챙기게되더군요. 증권이나 신규정보가 추가되서 좋긴 한데, 아직 다양성에 비해 정확도는 어느정도 감안해야하나요.. 참 만보기 기능 중에 채팅기능이 왜 있는지.. 알것같으면서..도..궁금합니다."
13,내모든계좌 및 주식도 간편하게 볼 수 있어서 좋습니다. 다만 네트워크상태가 원활한데도 간혹 멈추네요ㅜㅜ ------------ 답변감사합니다! 폰 문제였나봐요! 재부팅하니 이상없이 잘되네욬ㅋㅋ 자주 껐다 켰어야했는데... 친절한 답변 감사합니다(!)😊
14,너무 잘쓰고있습니다! 그래서 더 추가했으면 좋겠는 기능이있어서 쓰려고합니다. 토스에 사용 지출내역을 가계부처럼 사용하고 있는데 지출내역 포함을 선택할수있는기능이 좋은데 그 기능이 모든 계좌에 포함이 되더라고요. 계좌마다 각각 적용하고 다 한번에적용하고가 구분되었으면 좋겠어요! 또한 농협 등 다른 금융계좌를 연결해 사용할때는 메모기능이 있는데 토스뱅크에서는 지출내역등에 메모하는기능이 없어서 그것도 추가되었으면 좋겠습니다!
15,토스 증권에서 제가 지정한 관심종목 탭에서 관심종목 들어가서 상세내용 보다가 증권 메인 페이지로 뒤로가기 하면 인기 탭이나 커뮤니티 탭으로 내려가 버리는데 매번 관심종목 탭으로 다시 올려서 보기 번거로워요. 어떤 탭이던 뒤로 돌아가도 원래 있던 탭에 머무를 수 있게 개선해주세요.
16,이전에 글 남겼는데요. (송금하신 내역의 수정이 필요하시다는 말씀이 맞으실까요?) 라고 답변 주셨는데 그게 아니라. 송금할때 받는사람통장의 표시만 바꾸는게 아니라. 보내는사람통장의 표시도 같이 바꿀수 있게 해달라는겁니다~ 송금 다 끝내고 메모에서 따로 편집하는게 아니고. 송금하는 그때 송금하는사람의 통장표시도 같이 바꿀수있게요! 지금은 (받는분에게표시)로 받는사람표시만 바꿀수 있는데. 내통장에서 어떤 목적으로 돈을 송금하는지 표시를 바꿀수가 없어서 불편합니다!!
17,"업데이트했더니, 토스증권 들어갈때 입력했었던 비밀번호 설정이 없어졌어요. 처음 들어갈때 비번 입력할지 안할지 결정하는걸로 바뀌었네요. 개별적으로 비번설정이 가능했으면 좋겠어요. 계좌 숨기기 기능도...비번설정됐으면 좋겠어요. 그게 무슨 숨기기예요. 버튼 하나로 죄다 열리는구만."
18,주식앱으로 쓰기엔 UI가 상당히 불편하네요. 내가 거래중인 주식상황이나 예약중인 주식 받을돈 이런거 찾아가기가 아주 헷갈리고 어렵게 되어있습니다. 메뉴를 좀 찾아보기쉽고 체계적으로 만들어 줘요.
19,저는 토스증권을 잘 사용하고 있습니다. 2가지 건의사항이 있습니다. 주가차트에서 과거의 시세를 확인할 때 '일주일 전'에서 '3달 전'으로 바로 넘어가서 불편합니다. 예전에는 1달 전도 있었던 걸로 기억합니다. 그게 다시 추가되면 좋겠습니다. 또한 토스증권에서 관심 종목을 정렬할 때 한글 순서나 영문 알파벳 순서로 정렬하는 옵션도 있으면 좋겠습니다.
