,리뷰
0,"업데이트 후 해외사용, 인증불가/ 안녕하세요. 토스를 몇 년 째 잘 사용해오고 있습니다. 이민 후 지웠다가 이번에 한국에 잠시 들어갔을 때 한국폰번호가 생겨서 다시 깔아서 여태 잘 사용했는데요, 돌아오면서 번호해지를 하였습니다. 업데이트 이후 한국번호가 없어서 인증을 할 수 없습니다. 한국카드는 있지만 받을 수 있는 전화번호가 없구요... 주식이랑 모든 걸 거기서 이용중인데 방법이 있을까요?"
1,토스 질사용하고잇습니다. 한가지 불편한점이 잇어서 글남김니다. 다름이 아닌 만보기에서 GPS가 실제 잇는곳거리하고 다르게 올때가있습니다. 이점만 조금 불편하고 다른점은 좋습니다.^^
2,미션을 바꾸겠읍니까? 미션을 바꾸겠읍니까? 미션을 바꾸겠읍니까? 도데체 뭘 자꾸 미션을 바꾸겠읍니까? 바꿨으면 글자라도 바뀌든지 토시하나 안바뀌는 미션을 바꾸겠읍니까? 장난질도 정도껏...놀리는것도 아니고 몇번씩이나 똑같은 리뷰를 올렸으면 개선을 하든지 개선할 생각이나 있는지 의문...해당미션완려 외에 남아있는 미션이 바뀐다? 한글을 모르는건지 컴퓨터식 답변 달기전에 토시하나 안바뀌었다고 분명히 리뷰에 적어 놨는데 일부러 열받게 만들려는 답변인가요?
3,건의사항 송금을 한다거나 이자를 받을때 발생하는 본인확인하는 기능을 횟수를 줄여 주셨으면 합니다. 보통 이자를 받고 모으기에 넣거나 다른 통장을 넣는 수순을 밟는데 그때 마다 매번 본인확인 비번 누르라고 하니까 번거로워요. 보안을 생각해서 본인확인하는거 까지는 이해하는대 번거롭습니다. 시간을 두고 본인확인이 연장이 된다거나 그러면 더 편리하고 좋을 것 같아요
4,"토스 잘 쓰고 있습니다. 한 가지 아쉬운게, 자산 편집 기능이 온전히 자유롭게 되지는 않더군요. 예컨대, 일반계좌더라도 연금저축펀드계좌라 연금탭으로 옮기고 싶은데, 투자탭을 벗어날 수 없다든 등 문제가 있습니다. 이용자 편의를 위해 이용자가 원하는 대로 편집이 허용됐으면 합니다."
5,너무 잘 이용하고 있는데 한가지 개선해주셨으면 하는 사항이 있어서 글 남겨요 토스뱅크 모으기 내역을 자산에서 숨기고 싶어요 타 은행들은 계좌별로 숨기기 기능이 가능한데 토스뱅크는 모으기별로 숨기기 기능이 없어서 모두 집계가 되더라구요 모으기별로 숨기기 기능이 생겼으면 좋겠습니다.
6,"이번 달 사용 금액을 확인하는데, 제가 지출하지 않은 내역이 떠있습니다. 해당 내역의 결제 수단으로 등록 되어있는 은행 계좌 거래 내역에는 조회되지 않습니다. 실제로도 계좌에서 빠져나간 금액은 없구요. 이런 오류가 발생할 수 있는 건가요? + 네, 체크카드 후불 결제 건은 아닙니다. 나중에 채팅 상담으로 알아봐야겠네요. 빠른 답변 감사합니다!"
7,"연금저축이 뜨네요! 그런데 연금탭에 안가고 투자탭에 있더라고요 그래서 옮기고 싶은데 설정하는게 없네요.. 그리고 구입한 주식 정렬 제가 하나하나 할 수 있는건 좋은데 예를들어 보유지분순, 순익 순, 배당금 순, 뭐 이런식으로 자동 정렬도 되게해주세요. 비슷한건데 샀던 주식들 리스트에서 원하는 정보를 한눈에 보기가 힘들어요."
8,다음달 낼 카드값 보여주는 기능 아주 좋습니다! 모든 카드를 다 합산해서 보여주니 소비하는데 도움이 돼요. 주식도 알기쉽게 정리되어 있어서 올해 처음으로 주식에 입문했습니다. 대한민국에서 가장 쓰기 편한 앱인것 같아요. 앞으로도 잘 부탁드립니다^^
9,기변하고 앱을 새로 등록하는 과정에서 정보를 입력 하라길래 앱을 변경한 기기에서 다시 사용하기위한 과정인줄 알고 입력했는데 왜 뜬금없이 여러개의 금융사에서 신용조회가 이뤄지는지는 겁니까. 제가 잘못보고 입력한거라면 대출상담을 유도하기위한 실수를 유도하는 꼼수로 보여집니다. 사용자가 정확히 인지할수 있게 시스템이 구성되야 한다고 봅니다. 이거 조회기록 어떻게 없애야 합니까 진짜 불쾌하네요
10,너무 간편하고 너무 좋습니다 계좌 한번에 볼수 있고 대출 주식 장학금 지원금 등등 알아 볼수 있는 기능 들이 많아 너무 편리합니다 월별 소비 금액 알 수 있어서 좋지만 고정으로 빠저 나가는 금액을 고정 지출을 정확히 다 찾지 못 합니다 그리구 예전에는 소비 칸이 따로 있어 바로 볼 수있었지만 지금 분석을 하여 봐야 하는 불편함이 있습니다 소비태크 얻어야 하는게 중요한지는 모르겠습니다..
11,"토스 편하고 좋아서 가계부로도 사용하고 싶어요. 제로페이 사용내역과 포인트 사용내역까지 한번에 다 볼 수는 없나요? 제로페이는 당연하고, 네이버페이 같은 건 연동된 서비스 때문에 충전해서 사용하는 편인데, '내 소비'에선 충전으로 뭉뚱그려 나오니 아쉬워요. 그래서 포인트까지 전부 '내 소비'에서 같이 관리할 수 있으면 좋겠습니다."
12,"여러 은행 계좌 한 눈에 확인하기 편하고, 이자율 2%로 높고, 해외구매가 많은데 캐시백 3%로 높고 다~ 좋은데요. 현재까지 한 가지 불편사항은 여러 계좌로 송금할 때 다중이체 기능이 없는 것 같아 건건이 비번 치고 송금해야 하는 게 불편합니다. 혹시 제가 못 찾고 있다면 좀 알려 주시면 감사.. 아직 없다면 빨리 개발해 주시면 감사~. ^^"
13,갑자기 계좌 비번 입력 시 터치 진동 왜 발생하는 거죠? 어제(03/28)까지도 없던 증상입니다. 폰 세팅 문제라고 하지 마세요. 모든 터치 시에 소리&진동 다 꺼놨습니다. 오로지 토스 앱에서도 계좌 비번 입력 시에'만' 진동옵니다. 확인 후 빠른 조치해주세요.
